drug_name,adverse_event,case_count,quarter,total_drug_reports,total_event_reports,total_database_reports
ACETAMINOPHEN,ABDOMINAL ABSCESS,7,2025q2,130285,718,12399810
ACETAMINOPHEN,ABDOMINAL DISCOMFORT,647,2025q2,130285,59658,12399810
ACETAMINOPHEN,ABDOMINAL DISTENSION,260,2025q2,130285,23960,12399810
ACETAMINOPHEN,ABDOMINAL HERNIA,3,2025q2,130285,764,12399810
ACETAMINOPHEN,ABDOMINAL INFECTION,5,2025q2,130285,336,12399810
ACETAMINOPHEN,ABDOMINAL LYMPHADENOPATHY,1,2025q2,130285,117,12399810
ACETAMINOPHEN,ABDOMINAL MASS,10,2025q2,130285,859,12399810
ACETAMINOPHEN,ABDOMINAL OPERATION,2,2025q2,130285,232,12399810
ACETAMINOPHEN,ABDOMINAL PAIN,503,2025q2,130285,47771,12399810
ACETAMINOPHEN,ABDOMINAL PAIN LOWER,17,2025q2,130285,2251,12399810
ACETAMINOPHEN,ABDOMINAL PAIN UPPER,585,2025q2,130285,55934,12399810
ACETAMINOPHEN,ABDOMINAL RIGIDITY,3,2025q2,130285,325,12399810
ACETAMINOPHEN,ABDOMINAL SEPSIS,1,2025q2,130285,152,12399810
ACETAMINOPHEN,ABDOMINAL SYMPTOM,1,2025q2,130285,88,12399810
ACETAMINOPHEN,ABDOMINAL TENDERNESS,9,2025q2,130285,618,12399810
ACETAMINOPHEN,ABDOMINAL WALL CYST,1,2025q2,130285,82,12399810
ACETAMINOPHEN,ABDOMINAL WALL DISORDER,5,2025q2,130285,58,12399810
ACETAMINOPHEN,ABDOMINAL WALL HAEMORRHAGE,1,2025q2,130285,15,12399810
ACETAMINOPHEN,ABDOMINAL WALL MASS,1,2025q2,130285,31,12399810
ACETAMINOPHEN,ABDOMINAL WALL WOUND,2,2025q2,130285,81,12399810
ACETAMINOPHEN,ABNORMAL BEHAVIOUR,11,2025q2,130285,1600,12399810
ACETAMINOPHEN,ABNORMAL DREAMS,5,2025q2,130285,1389,12399810
ACETAMINOPHEN,ABNORMAL FAECES,15,2025q2,130285,1820,12399810
ACETAMINOPHEN,ABNORMAL LOSS OF WEIGHT,6,2025q2,130285,562,12399810
ACETAMINOPHEN,ABNORMAL WEIGHT GAIN,3,2025q2,130285,260,12399810
ACETAMINOPHEN,ABORTION,1,2025q2,130285,96,12399810
ACETAMINOPHEN,ABORTION INDUCED,6,2025q2,130285,378,12399810
ACETAMINOPHEN,ABORTION SPONTANEOUS,13,2025q2,130285,1599,12399810
ACETAMINOPHEN,ABORTION THREATENED,1,2025q2,130285,48,12399810
ACETAMINOPHEN,ABSCESS,36,2025q2,130285,2456,12399810
ACETAMINOPHEN,ABSCESS INTESTINAL,1,2025q2,130285,212,12399810
ACETAMINOPHEN,ABSCESS LIMB,7,2025q2,130285,639,12399810
ACETAMINOPHEN,ABSCESS OF EXTERNAL EAR,1,2025q2,130285,36,12399810
ACETAMINOPHEN,ABSCESS ORAL,4,2025q2,130285,260,12399810
ACETAMINOPHEN,ACARODERMATITIS,1,2025q2,130285,271,12399810
ACETAMINOPHEN,ACCIDENT,11,2025q2,130285,1089,12399810
ACETAMINOPHEN,ACCIDENT AT HOME,1,2025q2,130285,110,12399810
ACETAMINOPHEN,ACCIDENT AT WORK,2,2025q2,130285,191,12399810
ACETAMINOPHEN,ACCIDENTAL DEATH,2,2025q2,130285,115,12399810
ACETAMINOPHEN,ACCIDENTAL EXPOSURE TO PRODUCT,25,2025q2,130285,5987,12399810
ACETAMINOPHEN,ACCIDENTAL EXPOSURE TO PRODUCT BY CHILD,1,2025q2,130285,106,12399810
ACETAMINOPHEN,ACCIDENTAL OVERDOSE,89,2025q2,130285,4090,12399810
ACETAMINOPHEN,ACCIDENTAL POISONING,15,2025q2,130285,415,12399810
ACETAMINOPHEN,ACCOMMODATION DISORDER,1,2025q2,130285,12,12399810
ACETAMINOPHEN,ACETONAEMIA,2,2025q2,130285,12,12399810
ACETAMINOPHEN,ACIDOSIS,3,2025q2,130285,622,12399810
ACETAMINOPHEN,ACIDOSIS HYPERCHLORAEMIC,3,2025q2,130285,139,12399810
ACETAMINOPHEN,ACINETOBACTER BACTERAEMIA,1,2025q2,130285,8,12399810
ACETAMINOPHEN,ACINETOBACTER INFECTION,1,2025q2,130285,112,12399810
ACETAMINOPHEN,ACINETOBACTER SEPSIS,1,2025q2,130285,20,12399810
ACETAMINOPHEN,ACNE,17,2025q2,130285,3395,12399810
ACETAMINOPHEN,ACOUSTIC STIMULATION TESTS ABNORMAL,1,2025q2,130285,36,12399810
ACETAMINOPHEN,ACQUIRED EPIDERMOLYSIS BULLOSA,2,2025q2,130285,9,12399810
ACETAMINOPHEN,ACQUIRED HAEMOPHILIA,10,2025q2,130285,171,12399810
ACETAMINOPHEN,ACQUIRED PORPHYRIA,3,2025q2,130285,453,12399810
ACETAMINOPHEN,ACROCHORDON,1,2025q2,130285,195,12399810
ACETAMINOPHEN,ACROCHORDON EXCISION,1,2025q2,130285,27,12399810
ACETAMINOPHEN,ACTINIC KERATOSIS,3,2025q2,130285,338,12399810
ACETAMINOPHEN,ACTIVATED PARTIAL THROMBOPLASTIN TIME ABNORMAL,1,2025q2,130285,37,12399810
ACETAMINOPHEN,ACTIVATED PARTIAL THROMBOPLASTIN TIME PROLONGED,18,2025q2,130285,1976,12399810
ACETAMINOPHEN,ACTIVATED PARTIAL THROMBOPLASTIN TIME SHORTENED,1,2025q2,130285,40,12399810
ACETAMINOPHEN,ACUTE CHOLECYSTITIS NECROTIC,2,2025q2,130285,172,12399810
ACETAMINOPHEN,ACUTE FEBRILE NEUTROPHILIC DERMATOSIS,12,2025q2,130285,261,12399810
ACETAMINOPHEN,ACUTE GENERALISED EXANTHEMATOUS PUSTULOSIS,30,2025q2,130285,738,12399810
ACETAMINOPHEN,ACUTE GRAFT VERSUS HOST DISEASE IN SKIN,1,2025q2,130285,1000,12399810
